codigo;nombre;codigo_padre;email_aprobador;rol_aprobador;seleccionable_en_contabilizacion;activo;orden
11Z0206;PAVIMENTO FLEXIBLE, CORDÓN, CAÑO, ACERAS.;11Z0200;;GERENCIA_CONSTRUCCION;true;true;6
11Z0207;LAGUNA RETENCION;11Z0200;;GERENCIA_CONSTRUCCION;true;true;7
11Z0208;MEDIA TENSION;11Z0200;;GERENCIA_CONSTRUCCION;true;true;8
11Z0209;OBRA CIVIL ELECTRICA Y CANALIZACIONES;11Z0200;;GERENCIA_CONSTRUCCION;true;true;9
11Z0210;ELECTRICIDAD Y COMUNICACIONES;11Z0200;;GERENCIA_CONSTRUCCION;true;true;10
11Z0211;PLANTA TRATAMIENTO AGUAS NEGRAS;11Z0200;;GERENCIA_CONSTRUCCION;true;true;11
11Z0212;MUROS RETENCIÓN;11Z0200;;GERENCIA_CONSTRUCCION;true;true;12
11Z0213;TAPIA PERIMETRAL;11Z0200;;GERENCIA_CONSTRUCCION;true;true;13
11Z0225;OTROS COSTOS DIVERSOS DE INFRAESTRUCTURA;11Z0200;;GERENCIA_CONSTRUCCION;true;true;14
11Z0252;MOVIMIENTO TIERRA CIERRE PROYECTO;11Z0200;;GERENCIA_CONSTRUCCION;true;true;15
11Z0258;MEDIA TENSIÓN CIERRE PROYECTO;11Z0200;;GERENCIA_CONSTRUCCION;true;true;16
11Z0262;MUROS DE RETENCIÓN CIERRE PROYECTO;11Z0200;;GERENCIA_CONSTRUCCION;true;true;17
11Z0300;DIRECTOS COMUNES - SERVICIOS PUBLICOS Y OBRAS FUERA PROYECTO;11Z0000;;GERENCIA_CONSTRUCCION;false;true;3
11Z0301;DESFOGUE PLUVIAL;11Z0300;;GERENCIA_CONSTRUCCION;true;true;1
11Z0302;ACUEDUCTO;11Z0300;;GERENCIA_CONSTRUCCION;true;true;2
11Z0303;ALCANTARILLADO AGUAS NEGRAS;11Z0300;;GERENCIA_CONSTRUCCION;true;true;3
11Z0304;MEJORAS VIALES;11Z0300;;GERENCIA_CONSTRUCCION;true;true;4
11Z0305;MEJORA ZONAS PUBLICAS;11Z0300;;GERENCIA_CONSTRUCCION;true;true;5
11Z0306;OBRAS Y MEJORAS EN LINDEROS;11Z0300;;GERENCIA_CONSTRUCCION;true;true;6
11Z0325;OTROS COSTOS SERV. PÚBLICOS Y OBRAS EXTERNAS;11Z0300;;GERENCIA_CONSTRUCCION;true;true;7
11Z0400;DIRECTOS COMUNES - AREAS CONDOMINALES;11Z0000;;GERENCIA_CONSTRUCCION;false;true;4
11Z0401;OBRAS INGRESO AL PROYECTO;11Z0400;;GERENCIA_CONSTRUCCION;true;true;1
11Z0402;AREAS SOCIALES;11Z0400;;GERENCIA_CONSTRUCCION;true;true;2
11Z0403;PAISAJISMO;11Z0400;;GERENCIA_CONSTRUCCION;true;true;3
11Z0404;ILUMINACION;11Z0400;;GERENCIA_CONSTRUCCION;true;true;4
11Z0405;JUEGOS INFANTILES;11Z0400;;GERENCIA_CONSTRUCCION;true;true;5
11Z0406;MOBILIARIO;11Z0400;;GERENCIA_CONSTRUCCION;true;true;6
11Z0407;PARQUE PARA MASCOTAS;11Z0400;;GERENCIA_CONSTRUCCION;true;true;7
11Z0425;OTROS COSTOS DIVERSOS DE OBRAS COMUNES;11Z0400;;GERENCIA_CONSTRUCCION;true;true;8
11Z0600;DIRECTOS COMUNES - LOGISTICA, EQUIPO Y SUPERVISION EN SITIO;11Z0000;;GERENCIA_CONSTRUCCION;false;true;5
11Z0601;PERSONAL INGENIERIA Y ADMINISTRACION EN SITIO;11Z0600;;GERENCIA_CONSTRUCCION;true;true;1
11Z0602;PERSONAL SUPERVISION Y CONTROL EN SITIO;11Z0600;;GERENCIA_CONSTRUCCION;true;true;2
11Z0603;CARGAS SOCIALES PATRONALES;11Z0600;;GERENCIA_CONSTRUCCION;true;true;3
11Z0604;EQUIPO Y HERRAMIENTAS;11Z0600;;GERENCIA_CONSTRUCCION;true;true;4
11Z0605;SEGURIDAD OCUPACIONAL;11Z0600;;GERENCIA_CONSTRUCCION;true;true;5
11Z0606;FACILIDADES TEMPORALES;11Z0600;;GERENCIA_CONSTRUCCION;true;true;6
11Z0607;LIMPIEZA Y MANTENIMIENTO;11Z0600;;GERENCIA_CONSTRUCCION;true;true;7
11Z0608;SERVICIOS PUBLICOS;11Z0600;;GERENCIA_CONSTRUCCION;true;true;8
11Z0609;SEGURIDAD Y VIGILANCIA;11Z0600;;GERENCIA_CONSTRUCCION;true;true;9
11Z0610;LICENCIAS Y SOPORTE IT;11Z0600;;GERENCIA_CONSTRUCCION;true;true;10
11Z0611;MENSAJERÍA;11Z0600;;GERENCIA_CONSTRUCCION;true;true;11
11Z0612;CONTROL DE CALIDAD;11Z0600;;GERENCIA_CONSTRUCCION;true;true;12
11Z0625;OTROS COSTOS DE LOGÍSTICA, EQUIPO Y SUPERVISIÓN EN SITIO;11Z0600;;GERENCIA_CONSTRUCCION;true;true;13
11Z2000;DIRECTOS COMUNES - LOGISTICA, EQUIPO Y SUPERVISION CASAS;11Z0000;;GERENCIA_CONSTRUCCION;false;true;6
11Z2001;PERSONAL INGENIERIA Y ADMINISTRACION EN SITIO;11Z2000;;GERENCIA_CONSTRUCCION;true;true;1
11Z2002;PERSONAL SUPERVISIÓN Y CONTROL EN SITIO;11Z2000;;GERENCIA_CONSTRUCCION;true;true;2
11Z2003;CARGAS SOCIALES PATRONALES;11Z2000;;GERENCIA_CONSTRUCCION;true;true;3
11Z2004;EQUIPO Y HERRAMIENTAS;11Z2000;;GERENCIA_CONSTRUCCION;true;true;4
11Z2005;SEGURIDAD OCUPACIONAL;11Z2000;;GERENCIA_CONSTRUCCION;true;true;5
11Z2006;FACILIDADES TEMPORALES;11Z2000;;GERENCIA_CONSTRUCCION;true;true;6
11Z2007;LIMPIEZA Y MANTENIMIENTO;11Z2000;;GERENCIA_CONSTRUCCION;true;true;7
11Z2008;CONTROL CALIDAD;11Z2000;;GERENCIA_CONSTRUCCION;true;true;8
11Z2025;OTROS COSTOS DE LOGÍSTICA, EQUIPO Y SUPERVISIÓN EN SITIO;11Z2000;;GERENCIA_CONSTRUCCION;true;true;9
11Z2200;INDIRECTOS CONSTRUCCION - MUNICIPALES, GOBIERNO & OTROS;11Z0000;;GERENCIA_CONSTRUCCION;false;true;7
11Z2201;ESTUDIOS Y CONSULTAS;11Z2200;;GERENCIA_CONSTRUCCION;true;true;1
11Z2202;VIABILIDAD AMBIENTAL;11Z2200;;GERENCIA_CONSTRUCCION;true;true;2
11Z2203;ANTEPROYECTO Y PLANOS INFRAESTRUCTURA;11Z2200;;GERENCIA_CONSTRUCCION;true;true;3
11Z2204;ANTEPROYECTO Y PLANOS ARQUITECTURA;11Z2200;;GERENCIA_CONSTRUCCION;true;true;4
11Z2205;PERMISOS DE CONSTRUCCIÓN;11Z2200;;GERENCIA_CONSTRUCCION;true;true;5
11Z2206;INSPECCIÓN INFRAESTRUCTURA;11Z2200;;GERENCIA_CONSTRUCCION;true;true;6
11Z2207;CONSTITUCIÓN DE CONDOMINIO;11Z2200;;GERENCIA_CONSTRUCCION;true;true;7
11Z2208;PLANOS CATASTRO;11Z2200;;GERENCIA_CONSTRUCCION;true;true;8
11Z2209;CONTROL DE CALIDAD;11Z2200;;GERENCIA_CONSTRUCCION;true;true;9
11Z2210;LEGALES;11Z2200;;GERENCIA_CONSTRUCCION;true;true;10
11Z2211;CUOTAS Y FALTANTE OPERATIVO;11Z2200;;GERENCIA_CONSTRUCCION;true;true;11
11Z2212;SUBSIDIO AGUA CONDOMINIO;11Z2200;;GERENCIA_CONSTRUCCION;true;true;12
11Z2213;IMPUESTO BIENES INMUEBLES;11Z2200;;GERENCIA_CONSTRUCCION;true;true;13
11Z2214;PATENTES MUNICIPALES;11Z2200;;GERENCIA_CONSTRUCCION;true;true;14
11Z2215;POLIZA TODO RIESGO CONSTRUCCIÓN;11Z2200;;GERENCIA_CONSTRUCCION;true;true;15
11Z2216;OTRAS POLIZAS DE SEGURO;11Z2200;;GERENCIA_CONSTRUCCION;true;true;16
11Z2217;MANTENIMIENTO PROPIEDAD;11Z2200;;GERENCIA_CONSTRUCCION;true;true;17
11Z2225;OTROS CONSULTORES- SERV. EXTERNOS, GOBIERNO, MUNICIPALES, ETC.;11Z2200;;GERENCIA_CONSTRUCCION;true;true;18
11Z2900;INDIRECTOS COMUNES - GARANTIAS Y REPARACIONES;11Z0000;;GERENCIA_CONSTRUCCION;false;true;8
11Z2901;GARANTÍAS Y REPARACIONES ETAPA 1;11Z2900;;GERENCIA_CONSTRUCCION;true;true;1
11Z3000;INDIRECTOS COMUNES - IMPREVISTOS DE CONSTRUCCION;11Z0000;;GERENCIA_CONSTRUCCION;false;true;9
11Z3001;IMPREVISTOS DE CONSTRUCCIÓN;11Z3000;;GERENCIA_CONSTRUCCION;true;true;1
11Z3011;VIABILIDAD AMBIENTAL;11Z3000;;GERENCIA_CONSTRUCCION;true;true;2
11Z3021;MANTENIMIENTO OPERATIVO EN SITIO;11Z3000;;GERENCIA_CONSTRUCCION;true;true;3
11Z3023;IMPUESTOS GOBIERNO Y SEGUROS;11Z3000;;GERENCIA_CONSTRUCCION;true;true;4
11Z3024;GARANTÌAS Y REPARACIONES DE CIERRE;11Z3000;;GERENCIA_CONSTRUCCION;true;true;5
